Enhetsnummer;Enhetsnavn;Stønadstype;Stønadsnavn;Kravtype;Ekstern kravkode;Fortsatt behov
0587;Nav tiltak Innlandet;HJ AU;0;0;#N/A;Ja
4151;Nav økonomi stønad;ALLE;#N/A;#N/A;#N/A;
4291;Klageinstans Oslo;ALLE;#N/A;#N/A;ALLE;
4293;Klageinstans Tønsberg;ALLE;#N/A;#N/A;ALLE;
4295;Klageinstans Tromsø;ALLE;#N/A;#N/A;ALLE;
4401;Nav arbeid og ytelser Sarpsborg;AE LG;Forskotterte lønnsgarantimidler;Krav på refusjon av forskutterte lønnsgarantimidler;FORSKUTTERT_LONNSGARANTI;
4401;Nav arbeid og ytelser Sarpsborg;AE DV;Lønnsgaranti dividende;Krav på refusjon av forskutterte lønnsgarantimidler - dividende;FORSKUTTERT_LONNSGARANTI_DIVIDENDE;
4449;Nav arbeid og ytelser dagpenger og lønnsgaranti;EØ DP;EØS Dagpenger;Krav om refusjon av dagpenger EØS;0;
4461;Nav arbeid og ytelser grunn- og hjelpestønad;GH GS;Grunn hjelpestønad grunnst.;Tilbakekreving av feilutbetalt grunnstønad;TILBAKEKREVING_GRUNNSTOENAD;
4461;Nav arbeid og ytelser grunn- og hjelpestønad;GH HS;Grunn hjelpestønad hjelpest.;Tilbakekreving av feilutbetalt hjelpestønad;TILBAKEKREVING_HJELPESTOENAD;
4483;Nav arbeid og ytelser egne ansatte;GH GS;Grunn hjelpestønad grunnst.;Tilbakekreving av feilutbetalt grunnstønad;TILBAKEKREVING_GRUNNSTOENAD;
