X;Stønadstype;Stønadsnavn;Kravtype;Ekstern kravkode (Nav);Antall enheter;SKE prod;Nav;Etableres i INNFRI;Aktive saker i PAK;Oppdragsgiver;Kilde;KT
193;YS YN;Frivillig yrkesskadetrygd;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Frivillig yrkesskadetrygd
194;1;80% Sykepenger fra første dag;0;0;0;Nei;Manuell;Nei;Ja;Nav;Infotrygd fil (forsikring);80% Sykepenger fra første dag
195;2;100% Sykepenger fra 17. dag;0;0;0;Nei;Manuell;Nei;Ja;Nav;Infotrygd fil (forsikring);100% Sykepenger fra 17. dag
196;3;100% Sykepenger fra første dag;0;0;0;Nei;Manuell;Nei;Ja;Nav;Infotrygd fil (forsikring);100% Sykepenger fra første dag
197;4;Jordbruker;0;0;0;Nei;Manuell;Nei;Ja;Nav;Infotrygd fil (forsikring);Jordbruker
198;5;Frilanser;0;0;0;Nei;Manuell;Nei;Ja;Nav;Infotrygd fil (forsikring);Frilanser
199;S;Forsikring arbeidsgiverperioden;0;0;0;Nei;Manuell;Nei;Nei;Nav;Infotrygd fil (forsikring);Forsikring arbeidsgiverperioden
200;SP AV;§8-22 – fødsels- og sykepenger i arbeidsgiverperioden;Tilbakekreving av forskutterte sykepenger i arbeidsgiverperioden;TILBAKEKREVING_FORSKUTTERTE_SYKEPENGER;0;15.04.2026?;Manuell;Nei;Nei;Nav;Maskinelt (infotrygd fil);Tilbakekreving av forskutterte sykepenger i arbeidsgiverperioden
201;FA AV;§8-22 – fødsels- og sykepenger i arbeidsgiverperioden;0;0;0;Nei;Manuell;Nei;Nei;Nav;Maskinelt (infotrygd fil);§8-22 – fødsels- og sykepenger i arbeidsgiverperioden
202;Oppgis i skjema;Andre krav fra NØS;Tilbakekreving av feilutbetalt beløp fra Nav Økonomi;0;0;Nei;Manuell;Ja;Nei;Nav;Manuelt i PAK (regnskap);Tilbakekreving av feilutbetalt beløp fra Nav Økonomi
203;GFF;GFF;Krav på pliktig medlemspremie i pensjonstrygden for fiskere;0;0;Nei;Manuell;Ja;Nei;GFF;GFF;Krav på pliktig medlemspremie i pensjonstrygden for fiskere
204;SE DD;Krav fra europeisk myndighet;0;0;0;Nei;Manuell;Nei;Nei;Utenlandsk myndighet;Manuelt i PAK;Krav fra europeisk myndighet
205;SE DA;Arbeidsledighet EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Arbeidsledighet EØS
206;SE DA;Arbeidsledighet EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Arbeidsledighet EØS
207;SE DA;Arbeidsledighet EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Arbeidsledighet EØS
208;SE DA;Arbeidsledighet EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Arbeidsledighet EØS
209;0;Generell kravtype for dom fra Utenlandsk myndighet;0;0;0;Nei;Manuell;#N/A;#N/A;#N/A;#N/A;Generell kravtype for dom fra Utenlandsk myndighet
210;0;Generell kravtype for dom fra Utenlandsk myndighet;0;0;0;Nei;Manuell;#N/A;#N/A;#N/A;#N/A;Generell kravtype for dom fra Utenlandsk myndighet
211;SE DP;Pensjon EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Pensjon EØS
212;SE DP;Pensjon EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Pensjon EØS
213;SE DP;Pensjon EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Pensjon EØS
214;SE DP;Pensjon EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Pensjon EØS
215;SE DF;Familieytelser EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Familieytelser EØS
216;SE DF;Familieytelser EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Familieytelser EØS
217;SE DS;Sykepenger EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Sykepenger EØS
218;SE DS;Sykepenger EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Sykepenger EØS
219;SE DS;Sykepenger EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Sykepenger EØS
220;Ikke stønadstype (1);SED krav;0;0;0;Nei;Manuell;Nei;Nei;Utenlandsk myndighet;Manuelt i PAK;SED krav
221;SE DT;Trygdeavgift EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Trygdeavgift EØS
222;HT TA;Helsetjenester, tannbeh.;0;0;0;Nei;Manuell;Ja;Nei;Helfo;Manuelt i PAK;Helsetjenester, tannbeh.
223;HT UU;Helsetjenester utvidet st. utland;0;0;0;Nei;Manuell;Ja;Nei;Helfo;Manuelt i PAK;Helsetjenester utvidet st. utland
224;HT AS;Helsetjenester, annen stønad;0;0;0;Nei;Manuell;Ja;Nei;Helfo;Manuelt i PAK;Helsetjenester, annen stønad
225;HT RU;Helsetjenester, reiseutgifter;0;0;0;Nei;Manuell;Ja;Nei;Helfo;Manuelt i PAK;Helsetjenester, reiseutgifter
226;HT OU;H.tjenester, ordinær st.utland;0;0;0;Nei;Manuell;Ja;Nei;Helfo;Manuelt i PAK;H.tjenester, ordinær st.utland
227;HT HF;Helsetjenester, hjemmefødsel;0;0;0;Nei;Manuell;Ja;Nei;Helfo;Manuelt i PAK;Helsetjenester, hjemmefødsel
228;TK BO;Tilbakekr. behandleroppgjør;0;0;0;Nei;Manuell;Ja;Nei;Nav;Manuelt i PAK;Tilbakekr. behandleroppgjør
229;TK BO;Dom helfo;0;0;0;Nei;Manuell;Ja;Nei;Nav;Manuelt i PAK;Dom helfo
230;SE DT;Trygdeavgift EØS;0;0;0;Nei;Manuell;Ja;Nei;Utenlandsk myndighet;Manuelt i PAK;Trygdeavgift EØS
