X;Stønadstype;Stønadsnavn;Kravtype;Ekstern kravkode (Nav);Antall enheter;SKE prod;Nav;Etableres i INNFRI;Aktive saker i PAK;Oppdragsgiver;Kilde;KT
96;HT SU;Helsetjenester, spesielt;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Helsetjenester, spesielt
97;HT OR;H.tjenester, ortopedisk beh.;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;H.tjenester, ortopedisk beh.
98;HJ AR;Hjelpemidler i arbeidsliv;0;0;0;Nei;Manuell;Nei;Nei;Nav;Maskinelt (infotrygd fil);Hjelpemidler i arbeidsliv
99;HJ AK;Akt.hjelpemidler over 26 år;0;0;0;Nei;Manuell;Nei;Nei;Nav;Maskinelt (infotrygd fil);Akt.hjelpemidler over 26 år
100;HJ SL;Hjelpemiddel selvst. lån;Kari-Lise sjekker;0;0;Nei;Manuell;Ja;Nei;Nav;Manuelt i PAK;Kari-Lise sjekker
101;HJ SL;Hjelpemiddel selvst. lån;Kari-Lise sjekker;0;0;Nei;Manuell;Ja;Nei;Nav;Manuelt i PAK;Kari-Lise sjekker
102;HJ ST;Hjelpemiddel selvst. tilskudd;0;0;0;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);Hjelpemiddel selvst. tilskudd
103;HJ AU;Hjelpemiddel arb. og utd. reiser;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Hjelpemiddel arb. og utd. reiser
104;HJ DA;Hjelpemidler dagligliv;Tilbakekreving av feilutbetalt tilskudd til rimelige hjelpemidler;TILBAKEKREVING_TILSKUDD_RIMELIGE_HJELPEMIDLER;13;Nei;Manuell;Ja;Nei;Nav;Maskinelt (infotrygd fil);Tilbakekreving av feilutbetalt tilskudd til rimelige hjelpemidler
105;HJ HØ;Høreapparat;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Høreapparat
106;HJ LS;Stønad til lese- og sekretærhjelp;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Stønad til lese- og sekretærhjelp
107;HJ IT;Tilskudd datautstyr;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Tilskudd datautstyr
108;PE XE;Avtalefest. pensj., forsørgingst.;0;0;0;Nei;Manuell;Nei;Nei;Nav;Maskinelt (OB04);Avtalefest. pensj., forsørgingst.
109;PE XP;Avtalefestet pensjon;Tilbakekreving av for mye utbetalt avtalefestet pensjon - etteroppgjør;TILBAKEKREVING_AVTALEFESTET_PENSJON_ETTEROPPGJOER;0;Nei;Manuell;Ja;Nei;Nav;Pesys;Tilbakekreving av for mye utbetalt avtalefestet pensjon - etteroppgjør
110;PE XP;Avtalefestet pensjon;Tilbakekreving av for mye utbetalt avtalefestet pensjon;TILBAKEKREVING_AVTALEFESTET_PENSJON;0;11.3.2026;Maskinell;Ja;Nei;Nav;Pesys;Tilbakekreving av for mye utbetalt avtalefestet pensjon
111;PE AF;Avtalefestet pensjon;Tilbakekreving av feilutbetalt avtalefestet pensjon;TILBAKEKREVING_AVTALEFESTET_PENSJON_PRIVATSEKTOR;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt avtalefestet pensjon
112;TV AA;Tvangsmulkt ;Tvangsmulkt for brudd på meldeplikt til AA-registeret;TVANGSMULKT_MELDEPLIKT_AAREG;0;15.04.2026?;Manuell;Ja;Nei;Nav;Manuelt i PAK;Tvangsmulkt for brudd på meldeplikt til AA-registeret
113;UT TY;Tidsbegrenset uførestønad;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Tidsbegrenset uførestønad
114;UT TU;Tidsbegrenset uførestønad;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Tidsbegrenset uførestønad
115;UY TU;Tidsbegrenset uførestønad;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Tidsbegrenset uførestønad
116;UY UF;Foreløpig uførestønad;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Foreløpig uførestønad
117;PE UF;Foreløpig uførestønad;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Foreløpig uførestønad
118;UY UP;Uførepensjon;0;0;0;Nei;Manuell;Nei;Nei;Nav;Manuelt i PAK;Uførepensjon
119;PE UP;Uførepensjon;Tilbakekreving av feilutbetalt uførepensjon;TILBAKEKREVING_UFOEREPENSJON;0;11.3.2026;Maskinell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt uførepensjon
120;PE UP;Uførepensjon;Tilbakekreving av feilutbetalt uførepensjon - avregning;TILBAKEKREVING_UFOEREPENSJON_AVREGNING;0;Nei;Manuell;Ja;Nei;Nav;Maskinelt (OB04);Tilbakekreving av feilutbetalt uførepensjon - avregning
121;UY UX;Uføreytelse;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Uføreytelse
122;PE UB;Uførep. forsørgingst. barn;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Uførep. forsørgingst. barn
123;PE UE;Uførep. forsørgingst. ektefelle;0;0;0;Nei;Manuell;Nei;Nei;Nav;?;Uførep. forsørgingst. ektefelle
